"speech_id","speaker_id","speaker","year","speech"
1,2,"akira morita","1997","On June 8, 1989, at the final discussion of the 45th United Nations Human Rights Committee in Geneva, Dr. Richard Jaeger, representing the German government, voiced his reluctance and reservations regarding the adoption of the Convention on the Rights of the Child:
In the case of Article 5, which deals with the responsibilities, the rights and duties of the parents, we would have liked a more precise wording. There can be no doubt at all for the Federal Republic of Germany that the exercise of specific individual freedoms by children must find its clear limitation in the rights of guidance and direction of the parents.
This can be demonstrated particularly well by means of Article 13 which, among others, gives children the right to consume presentations of the electronic media. . . . I am certain that no one in this room here is of the opinion that children should be allowed to watch television without any limitations.
This statement by the German representative dramatically illustrates the shock people experienced when the legal concept of the ""child’s right to autonomy"" appeared as a problematic legal concept that threatens the organic parent-child relationship in the context of an international treaty. In the words of another German representative, spoken on a separate occasion, this surreal situation, never anticipated in the past, was a symbolic expression of the dissolution of the contemporary family.
How did this problem occur in the first place? Is there no room for questioning the legal concept of children’s rights itself? How can we overcome our current predicament? I would like to review the process of how the legal concept of children’s rights developed—a process which clearly reflects the interplay between family disintegration and the law. I have chosen material that relates the experience of the United States, a forerunner of modern society and a representative leader of the history of child legislation in the West. I would like to discuss in depth the question of what can be done to protect the family, parents, and children, based on an historical analysis of this material, and also in reference to the experience of Japanese law.
I. Formation and Transformation of the Concept of Children’s Rights in the United States
(1 ) The right to protection
In the process of the development of the child welfare system in the United States, the concept of children’s rights first arose in the wave of Progressive social reform that took place at the turn of the century. The reformers were alarmed by the preliminary signs of trouble and breakdown they saw occurring in families against a backdrop of rapid industrialization, urbanization, and the influx of immigrants into the country that dated from the mid-nineteenth century.
The power of the family, while the pioneering hope of twentieth-century America, was also an institution facing imminent crisis. In the midst of this duality of hope and crisis, the reformers—known as ""child savers""—concentrated all of their efforts on the establishment of a legal network (parens patriae) which would function as a substitute parent for the children abandoned in cities, those struggling in dark factories and coal mines, as well as for prone-delinquent children whose parents could not control them. The reformers called the objective benefits that should be given to children by this network ""children’s rights.""
A. J. Mckelway, one of the reformers, defined children as having ""the right to be dependent."" One court practitioner cleverly described this by saying, ""The juvenile’s right is not the right to liberty, but the right to custody.""
In other words, the child welfare laws in the first half of the twentieth century attempted to reconstruct the endangered organic parent-child structure of protection and dependence by creating a framework for the exercise of parental authority by the law. This artificial system of legal fiction was known as parens patriae. The right to protection in this context was therefore more accurately described as the need for protection being fulfilled within the legal framework; it can be referred to as the child’s objective legal entitlement. Legal historian Martin Grossberg describes the origin of the thinking that gave birth to this right:
The reformers had to create a new paternalistic vocabulary that defined rights in terms of children’s needs and parental failure. . . . Like others before and since, child savers hoped to make these needs inviolate by turning them into rights. . . . Rights talk proved too attractive to ignore.
Thus, these ""rights"" were not subjective rights in the classic sense, which makes self-determination a prerequisite.
Equating children’s needs with rights in this way was not limited to the United States, but developed as a common symbol of child welfare and its legal paternalism in Western countries in the twentieth century and made steady progress up to 1959, the year of the United Nations Declaration on the Rights of the Child. But a transformation in the concept of children’s rights began in the second half of the century.
(2) The right to autonomy
The actualization of anti-discrimination, which arose from the new egalitarianism and individualism that emerged in America toward the end of the 1950s, energized to spread through every section of society like wildfire in the late 1960s in the form of social protest that was rooted in a distrust of all traditional and institutional authority. In the world of education, not only did the protection structure that formed the parent-child relationship come under fire, but so did various legal systems that imitated the parent-child relationship.
The sharp increase of new types of child abuse, declining family morals, free sex, and especially the escalating family disintegration that was reflected by soaring divorce rates—which all became apparent in the 1960s—dealt a decisive blow to the traditional concept of protection. The difference in the status of parent and child and even parental authority itself began to be viewed with suspicion. A philosophy which made no fundamental distinctions between adults and children, calling for the liberation of children from protection, gradually came to be widely accepted. The child’s right to autonomy was born in this climate of social change, thus returning the concept of rights to its classic meaning of individual freedom and autonomy.
In 1967 and 1969 the U.S. Supreme Court made historical rulings that allowed the child’s right to autonomy in the contexts of juvenile justice and school education. However, preceding this radical advancement of modern freedom lay the de facto breakdown of parenthood on a social scale, as I have just described.
The emergence of the child’s right to autonomy inevitably caused dramatic changes in both the American legal system as it concerned children and in the reality of how children are treated. I will omit the details of these changes, but it is obvious that the concept of the autonomy of the child, which appeared in response to protests against protection, actually furthered the destruction of the protective relationship and helped to weaken education.
Hindsight suggests that the history of modern law in the West, which started out with the two articles of faith—individual autonomy and the right—is a history of the gradual dissolution by these two key concepts of the organic links of traditional society and the replacement of those organic links with legislation. In the early twentieth century when the aforementioned legal system was created, the term ""right"" was used to express a need of children, but in fact this terminology reflected the struggle to prevent the dissolution of protection—a struggle that opposed the trend followed by modern law from the eighteenth century onward. The emergence of the child’s right to autonomy in the second half of this century was a symbolic event which demonstrated how the process of the disintegration of modern Western society, led by the principles of individual autonomy and the right thereto, had finally reached down, 200 years after the French Revolution, to the primary level of the intermediating body of society—the family.
Let me reiterate the question I posed at the beginning of this report: How can we overcome our current predicament?
II. Beyond the Concept of Children’s Rights
( I ) It is apparent from the account of protection and autonomy I have just summarized that these two seemingly contradictory legal concepts of children’s rights are actually twins in the world of modern law—both grown from the same root of decline and weakening of natural parenthood and parental authority that has been a continuously occurring phenomenon in the past century. Today we are bewildered as we confront a postmodern situation in which the concept of the child’s right to autonomy functions as a disintegrating force against organic parent-child bonds.
Is the solution simply to demand a return to the concept of rights as meaning the child’s right to protection that is consistent with parental authority? Is this a duty that should be entrusted to the law? In one sense these questions may be answered in the affirmative, but my understanding is that this solution alone is not sufficient. What we need at this point is an in-depth discussion of the very concept of children’s rights, including both protection and autonomy.
(2) First, we should consider that the concept of children’s rights itself is based on the highly modern premise of the superiority of artifice over nature. The philosophy of parens patriae was rooted in a powerful optimism which believed that the natural parent-child relationship could be reconstructed and developed by the law. In particular, the key concept of rights epitomized the spirit of enlightened rationalism, which began in the seventeenth century, by its conviction that nature could be intentionally restructured and developed by rational human choice. This is why, as Grossberg writes, for the child savers, ""rights talk proved too attractive to ignore."" Yet we have witnessed many cases where, paradoxically, legal paternalism—the right to protection—acted in a destructive manner against the natural parent-child relationship and proved detrimental to long-term child welfare because of its excessive optimism and forcefulness. In a way, the institution of the child’s right to autonomy was a reaction against this forcefulness.
(3) The second point I want to offer for your consideration is that the concept of rights itself is, to begin with, one that found a basis in isolated individual cases. Today we are faced with a new paradox: the right to autonomy that came into existence as a result of the criticisms that were levied against protection is dismantling parent-child and teacher-student relationships by dividing all the parties concerned into individual entities, which only serves to further weaken the educational function of these relationships. This new paradox was not a by-product of the emergence of the right to autonomy concept but was certainly a consequence of the of the appearance of the parens patriae idealism at the beginning of this century that helped to dissolve the parent-child relationship with a concept of ""rights"" that considered the individual interest of the child as separate from that of the parent. Looking at this in simple terms we find, as suggested by Mclvelway’s expression ""the right to be dependent,"" that what children need most is not an isolated benefit in the name of rights, but the ""relationship"" itself. Joseph Goldstein, a renowned authority on children’s law, argues:
While the law may claim to establish relationships, it can in fact do little more than give them recognition and provide an opportunity for them to develop. . . . It may be able to destroy human relationships, but it does not have the power to compel them to develop.
(4) Although I do not believe that modern law is as incapable of fostering human relationships as Goldstein asserts, I believe we should acknowledge unequivocally that modern law, which uses the individual as a starting point, does not have a framework for dealing with the organic interpersonal relationship itself. The eminent legal philosopher Friedrich August von Hayek called the excessive confidence in the superiority of artifice over nature contained in modern law ""constructivist rationalism"" and described its limitations in detail.
If we follow this line of argument, it is evident that today, as we find ourselves in the midst of a crisis of family disorder, that we are faced with the task of somehow transcending the limitations of constructivist rationalism and rights-oriented thinking which is the underpinning philosophy of modern law. As Hayek might have said, we must transcend a legal order based on individualism and constructivist rationalism and ""rediscover"" the ""spontaneous order"" that incorporates human relationships.
III. The Experience of Japanese Law
(1) The above propositions are highly abstract in nature, so I would like to share with you a few experiences and observations of Japanese law I have made which suggested these general propositions to me.
As you are probably aware, Japanese society is a curious combination of the modern and premodern. Japan’s legal system has adopted wholesale the legal system of modern Western states but, as many have noted, the behavior patterns exhibited by the Japanese cannot be explained fully in terms of modern individualism.
To cite an example, one of the important principles governing Japanese behavior patterns is the ethic of reciprocity, fostered by interpersonal dependency and a sensitivity towards the state of belonging. Whereas in the West, dependency is viewed as being tantamount to subordination or even inferiority and therefore tends to be suppressed and relegated to the subconscious. In the Far East island nation of Japan, sensibility to the need of dependency has not only survived without having been negated but can even be said to be institutionalized within the social structure. The ""belonging"" that is the psychological foundation of the parent-child relationship and the primary model for human relationships is referred to as amae in Japanese. I would like to refer those of you who are interested in this topic to The Anatomy of Dependence by Takeo Doi, an excellent study of this phenomenon which is available in translation in seven languages. Inevitably, the remnants of such nonindividualistic behavior patterns have been criticized by modern Japanese intellectuals who view them in a negative light as a premodern legacy that should, for the most parts, be subjugated.
(2) Yet when we consider this problem from the perspective of our interest in the theme of this conference, Japan’s experience of combining the modern with the premodern provides us with very interesting data. It is very clear that one of the major reasons that the Western-style phenomenon of family dissolution has not yet occurred in Japan is due to the amae behavior pattern I have just touched on. In the legal world, we find many interesting phenomena. For example, the long history of the family mediation system in the Japanese family courts has shown its governing principle to be structured around the recovery of belonging through compromise and conciliation. The parties to mediation are encouraged to minimize the modernist assertion of their rights and discover the possibility of interpersonal relationships based on the ethic ot reciprocity. It is observed that people also arrive at court hoping unconsciously to recover through mediation some kind of psychological reconciliation.
(3) Another example is the Child Welfare Law. As a rule, the various measures for dealing with children in Japan’s municipal child welfare centers are taken only with parental consent. When parental consent cannot be obtained, the child welfare center can seek a court decision that allows it to intervene compulsorily in the parent-child relationship. In cases of extreme abuse of parental rights, the child welfare center can ask the family court to rule that the parents forfeit their rights. This law was enacted in 1947 during the U.S. Occupation, based on the principles of parens patriae.
Yet interestingly enough, there have been very few actual cases of compulsory intervention into the parent-child relationship by Japan’s child welfare centers and the courts. According to the Annual Report of Judicial Statistics for 1995, Japanese courts authorized compulsory, temporary intervention into the parent-child relationship in only 19 cases, and there were only 15 rulings for forfeiture of parental rights, some of which some were later overturned. There is only one case recorded in the precedents which is worth citing as a public reference: in 1979, a case involving a girl raped by her father, in which the Tokyo Family Court ruled that his parental rights be forfeited. It should be noted, however, that these numbers are within the context of the present Japanese population, which is about 120 million.
(4) Another illustration of the Japanese law’s reluctance towards compulsory intervention and its belief in the superiority of nature over artifice is its approach to status offense (prone-delinquent) jurisdiction in juvenile law. The current Japanese Juvenile Law, like the Child Welfare Law, was enacted after the Second World War under the influence of the parens patriae principle and, like its model, anticipates the need for considerable, proactive, compulsory intervention into the parent-child relationship. Yet in reality, the number of prone-delinquent juveniles sent by the Japanese Police to the family court in the past 50 years accounts for a mere 1.6% of all juvenile offenses every year. This percentage has not changed from that recorded in the years when the preceding Taisho Juvenile Law, enacted in 1922, was in force. This law banned outright any long-term compulsory intervention in prone-delinquent without parental consent. Dr. Tanida Saburo, the legislator at the time, tells why the relevant article was included:
The reason we added this article was to ensure that the law does not damage the natural emotional bond between parent and child in our country.
The reserved approach and administration of the old juvenile law, which was based on a respect for the natural relationship of dependency between the parent and child, has not changed even in the 50 years since the new law, formulated along the lines of the idea of parens patrie, was enacted. In other words, Japanese law makes a sharp response neither to the right to protection nor to the right to autonomy.
The experience of modern law in Japan that I have related is limited to Japan and therefore perhaps not immediately applicable to other societies. Also, the passiveness of Japanese law that I have described is generally depicted as evidence of the backwardness of Japanese society. But if we view our greatest task as one of putting a halt to the ""waning of belonging,"" as Bruce Hafen expresses it, a result of the fragmentation of human relationships in a world where modernization is being pushed to its limits, then the experience of Japanese law which values human connectedness might provide us with clues that will lead to a viable solution.
In Conclusion
Seventeenth-century philosopher and mathematician Blaise Pascal argued that there are two types of mind: l’esprit de geometric, the geometrical mind, and l’esprit de finesse, the intuitive mind. The geometrical mind draws conclusions from a small number of precise principles through logical reasoning. The key to this form of reasoning is the clear judgment of concepts. In contrast, the intuitive mind deals with a myriad of things which, by nature, cannot be demonstrated in an ordered, geometrical fashion. These things are extremely delicate and must be seen by the intuitive mind at a glance, and not as a result of progressive reasoning. The process this involves can be more accurately described as feeling, rather than perceiving.
The distinction Pascal draws between these two types of mind is closely related to our theme of law and the family. Law makes its appearance in real-life situations, where things must be assembled along the lines of geometrical evidence and logical perspectives to form a social order. Yet the entities of the family and the parent-child relationship cannot be satisfactorily understood only in such Cartesian terms. They also involve instinctive, emotional, historical, and religious aspects—the natural resources, so to speak, that are part and parcel of human life. To truly grasp the orders of the family and parent-child relationship, we must turn to the power of the intuitive mind. But as Pascal noted, ""Geometricians are rarely intuitive.""
Here, at last, the problems embodied in the question of how modern law can protect the family become clear. We must begin from the awareness that law and the family are objects of two different orders and, to quote Pascal once more, avoid the carelessness of ""geometricians who treat these intuitive matters geometrically; and make themselves ridiculous by trying to begin with definitions followed by principles."" Surely our most vital task, as legal scholars and practitioners, is to make decisions with the utmost of care, all the while fully aware of the part the intuitive mind has to play, as we grow, step by step, toward a better, more balanced understanding of the parent-and-child relationship."
2,13,"allan c. carlson","1997","I begin with what some call the paradox of an age of abundance that is also an age of moral degradation.
Modern Twentieth Century economies have produced a cornucopia of material goods, rising average incomes, and longer life spans. In this process, capitalist industrial economies based on competition, profit, and rewards for efficiency have proved vastly superior to socialist industrial economies based on central planning.
The Twentieth Century has also witnessed an unprecedented level of family dissolution, developments that have been especially pronounced in the very nations where industrialization has been most complete.
The critical question becomes: Are these two developments related? And if so, is it possible to find a way to have both material security and family virtue? Can we craft a virtuous economy?
The answer to the first question is ""yes"": industrialization tends, by its very nature, to undermine the material and psychological bases of the family. To understand why, we need turn to the very essence of modern industry, and what it replaced.
The pre-industrial economy is a household-centered economy, where each family is largely self-sufficient, in food production and preservation, in shelter, and in clothing: that is, in the essentials of material life. This self-sufficiency delivers to the family economic independence, or autonomy. Husbands, wives, children, and other household members specialize to some degree in tasks, a natural division of labor that generates material gain. The natural family household serves as a unit of both production and consumption, one built on altruism and love, where the principle of selfless sharing actually works. This is why the natural family finds its favored setting on a subsistence farm--among a free peasantry or, in Anglo-American parlance, among the yeomanry--or in the village.
In its essence, industrialization means breaking apart these human-scale productive households, and distributing the human parts to factories: both to material factories such as textile mills, industrial canneries, automobile plants, or offices; and to social and educational factories such as mass state schools or day care centers.
This is why it is fair to say that both modern large corporations and modern states have a perverse common interest in family decline. Viewed in terms of efficiency, the autonomous family unit represents a drag on the gross national product. Family bonds interfere with the purely efficient allocation of human labor, and household production partially limits the sway of a money-based economy. What we call ""economic growth"" rests, in some part, on the steady transfer of ever-more productive functions from the household, where such work is not monetized and so is uncounted, to industrially-organized entities, whether corporate or state. In the beginning of the process, these transferred functions include tasks such as spinning, weaving, and education. And as the process consumates, these transfers from family to industry include food preparation, the rearing of infants and toddlers, and the care of the elderly.
The treatment of women under the regime of industry offers another case study. In the unregulated labor market of industrial capitalism, as in the formal program of industrial socialism, women--particularly young women--are desired as industrial workers: for their nimble fingers and relative obedience; and for their valuable role in expanding the labor pool, and holding wages down. Commonly, it has been the long and difficult organization of labor that has rebuilt boundaries of decency around the household, and limited industrial intrusion into the home. In Australia, the United States, and parts of Western Europe, organized labor built ""family wage"" systems in the late 19th and early 20th centuries, so that the factory could claim only one family member per household--normally the father--who would in turn be paid a wage sufficient to support his family in decency. Women could then return home, to bear, rear, protect, and educate offspring.
More thoughtful industrial leaders came to see the wisdom of this ""family wage,"" and the virtue of preserving some level of family autonomy within the factory system. In the United States, automaker Henry Ford startled observers in 1914 by doubling the wages paid to married workers, arguing that the worker ""is not just an individual....He is a householder....The man does the work in the shop, but his wife does the work in the home. The shop must pay them both."" In France, meanwhile, Christian priests organized the industrialists in their parishes into study circles devoted to Church social teachings. These factory owners went on to craft a vast, voluntary family allowance system, which supplemented the wages paid to heads-of-households with bonuses determined by the number of their children.
Yet the more common response by industrialists was to allow the family to dissolve into its constituent parts. In the United States, for example, the National Association of Manufacturers has--for over a century--consistently opposed the ""family wage"" regime, seeking access to the labor pools of married women and children.
There have been varied responses to this situation. The great economic heresy of Communism can be viewed as an attempt to apply the altruism or family principle across all society. Our century has shown this to be a huge and tragic error, something that cannot be done. For once we move beyond small communities such as the household, the clan, the religious community, or the village, this form of altruism fails, leaving only violence.
A second response to the plight of the family in the industrial milieu was the quest for the ""Middle Way,"" the path of Social Democracy that supposedly led between industrial capitalism and industrial communism. For about three decades, 1940 to 1970, the Scandinavian social democracies did seem an attractive model. But the system succumbed thereafter to its own internal contradictions, all linked in a way to the family problem.
Today, the classic ""Middle Way"" states of Sweden and Denmark face both fiscal and moral crisis. There proved to be no real ""Middle Way.""
But there have also been hints, in our century, of a ""Third Way"" of economic organization that does represent a better path. The common denominator has been recognition and defense of a family-centered economy. These approaches to the problem cut directly to the unchanging nature of the true family, and seek to build barriers that would protect the altruistic home economy from corrosive individualism, consumerism, and statism. Put another way, they encourage the ""refunctionalization"" of families by driving state and industry back from some of the household ground they have seized.
The best known advocates for a Third Way were the English essayists G.K. Chesterton and Hilaire Belloc. Chesterton argued openly and boldly for the building of a ""peasant society,"" based on small acreages and small shops. Belloc wrote that ""[t]he family is ideally free when it fully controls all the means necessary for the production of such wealth as it should consume for normal living.""
A more systematic economic theory of the family-centered economy came from the pen of Alexander Vaselevich Chayanov. Before his arrest and execution by the Soviet Communists, this Russian economist had refuted the view, held by liberal and Marxist theorists alike, that peasant or family farms are irrational and inefficient, and should be eliminated. In his 1925 masterpiece, PEASANT FARM ORGANIZATION, Chayanov persuasively showed that small family farms--combining subsistence vegetable and animal production with cottage industries, household production, and variable outside employment--these were in fact a logical, even superior, form of economic organization. Another economist active at the time, the American Ralph Borsodi, emphasized ""family production"" as the program ""for folk who aim at virtue and happiness, and for whom the good life is represented by home and hearth, by friends and children, by lawns and flowers."" He gave special attention to the economic contribution of the mother in the home. Where the dominant economic theories dismissed the homemaker as economically useless, or even a parasite, Borsodi emphasized the true economic value of her regular tasks, from gardening, and the keeping of chickens; to bearing and nursing babies; and protecting and teaching children. Moreover, the fact that the gain from these activities could not be taken from the family through taxes made--in his words--""the maintenance of an adequate balance of family production absolutely essential to the preservation of individual economic independence and freedom.""
These models of an economic Third Way, I repeat, shared a focus on family well-being. Family renewal would come only as certain tasks or functions were protected from immersion into industry, or deindustrialized and returned to the household. Under these models, the measure of economic success would be the formation of marriages, the birth of children, and the solidarity of the household group. This would turn economic analysis back toward its authentic roots, in the Greek/Latin word, oeconomia, meaning the ""management of the household."" So, rather than dwelling on a ""Third Way,"" it might be better to talk of a ""Family Way"" as the path to the virtuous economy.
And this Family Way is more than mere theory. There are modern examples of nations that have, by accident, stumbled onto secular policies that have reinvigorated the family by restoring certain functions to the household: in Mexico during the 1940-1970 land reform period; in China since 1978, where the return of land-use to the rural peasantry has led to a resurgence of traditional family-patterns and fertility-despite the best oppressive efforts of government; and--as Michael Farris alluded to yesterday--among home educators in America, whose average fertility is nearly four children per family, nearly twice the national average.
In short, a Family Way economics is more than abstract theory. There are examples on the ground that show us how we might proceed to build a better, more virtuous, and more natural order."
3,30,"ba santamaria","1997","A. In 1902 Lenin published one of his more significant works, to which he gave the title ""What Is to Be Done?"" For fully 15 years the answers he gave to that question remained purely theoretical. In 1917 the October Revolution enabled Lenin and his comrades to take control of Russia. The practical—as distinct from the theoretical—answer which he and his successors gave after1917 proved to be a historical catastrophe, which, in the Soviet Union, China, and other Communist countries cost the lives of more than a hundred million human beings. The answer may have been catastrophic. Nevertheless the question ""What is to be done?"" remains central to every great national and international question, among which the disintegration of the family is among the most important.
That it is also extremely urgent is driven home by the paradoxical history of the family during the last 50 years. On the one hand, in Western societies the family has been in a state of progressive dissolution over the whole of that period. On the other hand, during the same period there have been numerous pro-family movements of varying strengths in many Western countries attempting to turn the tide. Despite their work, the results have been overwhelmingly negative, and never more so than in the past 20 years. The tide is still running strongly against the family, and there is no sign whatsoever that it is likely to be reversed. Hence the question ""What is to be done?"" remains both central and urgent.
The underlying thesis of this short talk may be quickly summed up. While piecemea1 reforms, like family allowances, taxation concessions for the family, and so on—although always won with great difficulty—are always to be pursued and welcomed, these concessions alone will not avail against the continuing process of internal disintegration. It will, I suggest, prove impossible to restore the basic structure of the family unless we can change the basic social and economic principles by which the majority of Western states are run today in the aftermath of the triumph of globalization and deregulation. A practical strategy aiming at the recovery of the family demands therefore a complementary strategy aiming at a reform of the State. That is more than a tall order. Apart from ideological currents like militant feminism and the moral chaos engendered by the triumph of the utilitarian philosophy throughout the West, enormous financial interests stand behind the present economic and financial structures of the modern State. They will not easily abandon their position of control.
B. To evaluate the respective weights of the economic and noneconomic factors which have contributed to the disintegration of the family is not an easy task. As we have already seen at this conference, the noneconomic factors range from the social and cultural to the moral and religious. If one could conceive of a situation—which I recognize as purely hypothetical—in which the economic factors did not exist, the family would still be faced with the threat of dissolution in the Western world simply because the economic structures of Western societies are organized against it.
The conflict has now reached the point of no return, with mass unemployment apparently beyond the capacity of governments to control. Unemployment has been perhaps the worst of the purely material enemies of the family. In Europe alone there is a solid mass of some 20 m. unemployed. If we abstract the regional factors which prevail, for instance, in some Mediterranean countries, this unemployment is the consequence of the crisis to which the ideology of globalization has finally brought Western capitalism. The policy of international deflation, which is the current orthodoxy propagated with all the zeal of a religious revelation—""downsizing,"" cutting wages, reducing social services—will merely aggravate the problem.
This thesis is often denied by those who point to the favorable statistics of increasing employment which are produced, especially in relation to the U.S. These figures depend however on substantial reductions in real wages—below the level required for the maintenance of a family—and on the fact that more of these new jobs are part-time rather than full-time jobs. In Australia the Commonwealth Statistician has reported that of the 1.8 m. jobs created in the last 10 years, over 1 m. have been part-time. These jobs are held principally by married women. Millions of married women have been absorbed into the industrial and commercial workforce, some obviously voluntarily and by choice, some simply ""conscripted"" to make up family income. For the child, the child-care center has increasingly been substituted for the attention of its parents. These radical changes in the basic functions and circumstances of husbands, wives, and children have simply torn the family apart.
C. If one is to canvass solutions, it is first necessary to explore causes.
The conflict between the two ""regimes""—of the family and of modern industrial societies—goes back at least 50 years. It appears to fall into three well-defined phases which need to be understood if we are to produce solutions which will actually work.
(i) The first organized political act in the campaign to draw mothers into the workforce may be regarded as having been taken in the United States in 1955 with the conference on ""The Effective Use of Woman Power,"" which was held at Columbia University with the informal support of the Eisenhower Administration. Before the days of television, it usually took up to 10 years for American cultural trends to reach Australia. This occurred in 1966 when similar conferences were held but under the formal aegis of the then Australian government. There was no pretense in either country that the object in view was the moral or political ""liberation"" of women. The basis was a relatively new but strongly asserted employer view that women constituted a vast source of cheap and hitherto largely unexploited labor which should be transformed into the magic factor of lower labor costs. That this might diminish the purely economic value of the labor of women in the home did not arise for consideration, since the gross domestic product did not—and still does not—measure the financial value of the work of women in the home. Yet the most recent research indicates that it is almost equal to the added value of industrial and commercial production. With government policy not in favor of the new view, there was an immediate acceleration of the entry of married women into the full-time and part-time workforce. Whereas some 25 to 30 percent of married women were in the Australian workforce at the end ot the fifties—mainly young marrieds who had not yet begun their families but who intended to do so—by the end of the seventies the figure had grown to some 50 percent and over.
(ii) The second stage may be dated as beginning in 1973, the year of the Middle East oil crisis.
The quadrupling in the price of oil for Western industries led to a major rise in industrial costs. Fortuitously perhaps, 1973 was the year in which, in the U.S., real wages began to fall.
This represented a major change from the situation which had prevailed since the end of the Second World War.
From 1945 to 1973 in all Western societies the standard of living of the average family had risen modestly but regularly, basically because the real wage of the production workers slowly but surely increased. The real wage earned by the family breadwinner had proved the foundation of the solidity of the family. In 1973, perhaps to compensate for the ""oil shock"" of that year, real wages began to decline. In 1985 Paul Volcker, the former chairman of the U.S. Federal Reserve, in his book Changing Fortunes, admitted that ""the real hourly and weekly earnings of the average production workers in the U.S. are lower today than they were 25 years ago."" At first, American families, apparently believing that this was only a temporary phenomenon, adapted. High consumption levels were maintained. This was possible because family income was ""stretched,"" on the one part, by the depletion of savings, by the increase in borrowing, particularly through the growth of consumer credit, and partly by the de facto conscription of married women into the workforce. Marriages were postponed. Birth rates were lower. Household savings declined. Families went into debt.
(iii) The third period began with the worldwide deregulation of the financial system in the early eighties as part of a system conceived in the interests of the multinationals, which rapidly developed its concomitant ideology .
The deregulation of the international financial system has been the direct cause of the present speculative frenzy throughout the West, which, under some circumstances, might easily result in a parallel to 1929. But here we are concerned exclusively with its consequences for families.
For them, the impact of the financial revolution has been an astronomical rise in consumer debt, as with the reduction of real wages, family savings disappeared. The number of U.S. families with savings accounts fell from 62 percent in 1983 to 44 percent in 1989 and has undoubtedly fallen even more rapidly since. In 1969 American consumers owed just under $US3 billion in credit card debt. By 1994 credit card debt, measured in 1969 dollar values, had risen from $US3 billion to $US74 billion. Repayments on total consumer debt, including that on mortgages--together with fixed outlays like food, rent, and taxes—rose from 77 percent of family income in 1992 to 82 percent in 1995. Hence the almost total disappearance of family savings on which to a large extent stability of the family had depended as much as the maintenance of the levels of real wages.
The rapid rise in personal, corporate, and government debt naturally resulted in a rapid increase in interest rates.
The great increase in the level of interest rates which has accompanied this revolution has served to siphon much of the money which once went into the accumulated savings of ordinary families to the relatively small financial class whose investments are handled largely by the major banks and funds. Interest rates, by and large, have come to constitute one of the central mechanisms which transfer assets from one class to another.
Nobody has better understood and more greatly profited from the domination of Western societies by laissez-faire economics than the celebrated Hungarian speculator, George Soros. His Quantum Fund reputedly handles investments totaling $10 billion. He was strong enough in 1992 to force the devaluation of the British pound. Yet in his article in the February issue of the Atlantic Monthly he had this to say:
Although I have made a fortune in the financial markets, I now fear that the untrammeled intensification of laissez-faire capitalism and the spread of market values into all areas of life is endangering our open society. The main enemy of the open society, I believe, is no longer the communist but the capitalist threat.
Its main thrust is the general growth of unemployment throughout the Western world.
Unemployment, in my view, has become the greatest single factor in family breakdown in modern industrial societies. For that reason, unless some kind of concerted action is taken to bring the pressures and abuses ot this system to an end, any work we do to restore the family will yield only comparatively meager results and not turn the tide of events.
D. The question ""What is to be done?"" therefore resolves itself into asking how, in what has become a highly unstable economic situation, we can lay the foundations of a national economic structure which permits a family-centered economy to operate.
I am chary of recommending models. I remember the ill-considered enthusiasm with which the greater percentage of modern intellectuals—Western and Eastern—fell for the Soviet model. No model can be readily adapted to a different country with different traditions. Unless one has oneself lived in a country for 10 years—known its language, its traditions, its people—one cannot be sure that whatever descriptions are given in the textbooks are, in fact, accurate.
Subject to all of those qualifications, and to all of the recent excesses of its so-called ""bubble economy,"" in part a product of the highly complicated interplay between the Japanese yen and the American dollar, there is a great deal which is worthy of study in the institutional foundations of the Japanese economy. Such knowledge depends on the accuracy of such sources as Chalmers Johnson, James Fallows, and, more recently, R. Taggart Murphy in his The Real Price of Japanese Money, which I strongly commend.
In brief, what I find attractive in the institutional framework of the Japanese economy, as I understand it, is a set of underlying principles:
1. The insistence on maintaining real national sovereignty. This is not even primarily a matter of arms and war. Whether or not the Japanese actually needed the warning said to have been given to them by Bismarck in 1872—that to permit foreign interests to invest in any key part of the financial system from banks to insurance companies or even basic industries would ultimately destroy sovereignty, as would borrowing from them— Bismarck’s warning retains its relevance today.
2. The interlocking arrangements by which the Japanese authorities established some unity of purpose between government, the banks, the major corporations, the international trading companies, and their network of thousands of small suppliers which, to date, at least have permitted the maintenance of whole-of-life employment at least for a section of the working population.
3. Exceedingly low interest rates. The Japanese discount rate is approximately .5 of 1 percent. It is only if interest rates are low that housing, farming, small businesses, public works, and infrastructure in general can flourish.
4. The effective methods utilized by the Japanese economy by which consumption is taxed and domestic savings and investment ensured.
5. The multitude of informal arrangements which Japanese society has developed ensure a productive existence for the elderly, instead of throwing them on to the scrap-heap of all-but-complete dependence on government handouts.
The family wage and the widespread distribution of productive property are fundamental to the economic health of the family, but unless the political economy of the States is such as to sustain them, we will enjoy neither the one nor the other. If we wish to create a family-centered economy, we will have to alter the economic principles of laissez-faire capitalism by which modern Western states are run and work for a new and different structure of the State.
That was my meaning when I said at the beginning of this paper that a program for the family must rest on a complementary theory of the State, and that unless and until we can win this last battle, we will not win the war."
